origin_location_code,origin_has_hrp,origin_in_gho,asylum_location_code,asylum_has_hrp,asylum_in_gho,population_group,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
ETH,False,True,KEN,False,True,ASY,all,all,None,None,8762,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,REF,f,0-4,0,4,1282,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,REF,f,5-11,5,11,2148,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,REF,f,12-17,12,17,1400,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,REF,f,18-59,18,59,4775,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,REF,f,60+,60,None,213,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,REF,f,all,None,None,9818,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,REF,m,0-4,0,4,1398,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,REF,m,5-11,5,11,2210,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,REF,m,12-17,12,17,1499,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,REF,m,18-59,18,59,5277,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,REF,m,60+,60,None,240,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,REF,m,all,None,None,10624,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,REF,all,all,None,None,20442,2020-01-01,2020-12-31
IND,False,False,KEN,False,True,ASY,f,0-4,0,4,0,2020-01-01,2020-12-31
IND,False,False,KEN,False,True,ASY,f,5-11,5,11,0,2020-01-01,2020-12-31
IND,False,False,KEN,False,True,ASY,f,12-17,12,17,0,2020-01-01,2020-12-31
IND,False,False,KEN,False,True,ASY,f,18-59,18,59,5,2020-01-01,2020-12-31
IND,False,False,KEN,False,True,ASY,f,60+,60,None,0,2020-01-01,2020-12-31
IND,False,False,KEN,False,True,ASY,f,all,None,None,5,2020-01-01,2020-12-31
IND,False,False,KEN,False,True,ASY,m,0-4,0,4,0,2020-01-01,2020-12-31
IND,False,False,KEN,False,True,ASY,m,5-11,5,11,0,2020-01-01,2020-12-31
IND,False,False,KEN,False,True,ASY,m,12-17,12,17,0,2020-01-01,2020-12-31
IND,False,False,KEN,False,True,ASY,m,18-59,18,59,0,2020-01-01,2020-12-31
IND,False,False,KEN,False,True,ASY,m,60+,60,None,0,2020-01-01,2020-12-31
IND,False,False,KEN,False,True,ASY,m,all,None,None,0,2020-01-01,2020-12-31
IND,False,False,KEN,False,True,ASY,all,all,None,None,5,2020-01-01,2020-12-31
IRQ,False,False,KEN,False,True,REF,f,0-4,0,4,0,2020-01-01,2020-12-31
IRQ,False,False,KEN,False,True,REF,f,5-11,5,11,0,2020-01-01,2020-12-31
IRQ,False,False,KEN,False,True,REF,f,12-17,12,17,0,2020-01-01,2020-12-31
IRQ,False,False,KEN,False,True,REF,f,18-59,18,59,5,2020-01-01,2020-12-31
IRQ,False,False,KEN,False,True,REF,f,60+,60,None,0,2020-01-01,2020-12-31
IRQ,False,False,KEN,False,True,REF,f,all,None,None,5,2020-01-01,2020-12-31
IRQ,False,False,KEN,False,True,REF,m,0-4,0,4,0,2020-01-01,2020-12-31
IRQ,False,False,KEN,False,True,REF,m,5-11,5,11,0,2020-01-01,2020-12-31
IRQ,False,False,KEN,False,True,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
IRQ,False,False,KEN,False,True,REF,m,18-59,18,59,0,2020-01-01,2020-12-31
